Statistic,Quarter,Area of Residence,UNIT,VALUE
Births Registered,2011Q2,Longford,Number,176
Births Registered,2011Q2,Louth,Number,484
Births Registered,2011Q2,Meath,Number,912
Births Registered,2011Q2,Offaly,Number,314
Births Registered,2011Q2,Westmeath,Number,354
Births Registered,2011Q2,Wexford,Number,580
Births Registered,2011Q2,Munster,Number,4657
Births Registered,2011Q2,Waterford County,Number,216
Births Registered,2011Q2,Waterford City,Number,210
Births Registered,2011Q2,Clare,Number,405
Births Registered,2011Q2,Cork City,Number,363
Births Registered,2011Q2,Cork County,Number,1677
Births Registered,2011Q2,Kerry,Number,493
Births Registered,2011Q2,Limerick City,Number,172
Births Registered,2011Q2,Limerick County,Number,532
Births Registered,2011Q2,North Tipperary,Number,271
Births Registered,2011Q2,South Tipperary,Number,318
Births Registered,2011Q2,Tipperary,Number,
Births Registered,2011Q2,Connacht,Number,2027
Births Registered,2011Q2,Galway City,Number,289
Births Registered,2011Q2,Leitrim,Number,123
Births Registered,2011Q2,Mayo,Number,466
Births Registered,2011Q2,Roscommon,Number,212
Births Registered,2011Q2,Sligo,Number,223
Births Registered,2011Q2,Galway County,Number,714
Births Registered,2011Q2,Ulster (pt),Number,1167
Births Registered,2011Q2,Cavan,Number,361
Births Registered,2011Q2,Donegal,Number,561
Births Registered,2011Q2,Monaghan,Number,245
Births Registered,2011Q2,Outside the State,Number,
Births Registered,2011Q3,State,Number,19222
Births Registered,2011Q3,Dublin City,Number,2039
Births Registered,2011Q3,Fingal,Number,1474
Births Registered,2011Q3,Dun Laoghaire Rathdown,Number,708
Births Registered,2011Q3,South Dublin,Number,1307
Births Registered,2011Q3,Leinster,Number,10949
Births Registered,2011Q3,Wicklow,Number,532
Births Registered,2011Q3,Carlow,Number,238
Births Registered,2011Q3,Kildare,Number,996
Births Registered,2011Q3,Kilkenny,Number,390
Births Registered,2011Q3,Laois,Number,333
Births Registered,2011Q3,Longford,Number,171
Births Registered,2011Q3,Louth,Number,499
Births Registered,2011Q3,Meath,Number,936
Births Registered,2011Q3,Offaly,Number,355
Births Registered,2011Q3,Westmeath,Number,348
Births Registered,2011Q3,Wexford,Number,623
Births Registered,2011Q3,Munster,Number,5101
Births Registered,2011Q3,Waterford County,Number,257
Births Registered,2011Q3,Waterford City,Number,228
Births Registered,2011Q3,Clare,Number,466
Births Registered,2011Q3,Cork City,Number,409
Births Registered,2011Q3,Cork County,Number,1725
Births Registered,2011Q3,Kerry,Number,502
Births Registered,2011Q3,Limerick City,Number,196
Births Registered,2011Q3,Limerick County,Number,614
Births Registered,2011Q3,North Tipperary,Number,352
Births Registered,2011Q3,South Tipperary,Number,352
Births Registered,2011Q3,Tipperary,Number,
Births Registered,2011Q3,Connacht,Number,2026
Births Registered,2011Q3,Galway City,Number,270
Births Registered,2011Q3,Leitrim,Number,106
Births Registered,2011Q3,Mayo,Number,426
Births Registered,2011Q3,Roscommon,Number,223
Births Registered,2011Q3,Sligo,Number,242
Births Registered,2011Q3,Galway County,Number,759
Births Registered,2011Q3,Ulster (pt),Number,1146
Births Registered,2011Q3,Cavan,Number,348
Births Registered,2011Q3,Donegal,Number,554
Births Registered,2011Q3,Monaghan,Number,244
Births Registered,2011Q3,Outside the State,Number,
Births Registered,2011Q4,State,Number,17097
Births Registered,2011Q4,Dublin City,Number,1948
Births Registered,2011Q4,Fingal,Number,1286
Births Registered,2011Q4,Dun Laoghaire Rathdown,Number,667
Births Registered,2011Q4,South Dublin,Number,1238
Births Registered,2011Q4,Leinster,Number,9873
Births Registered,2011Q4,Wicklow,Number,583
Births Registered,2011Q4,Carlow,Number,220
Births Registered,2011Q4,Kildare,Number,864
Births Registered,2011Q4,Kilkenny,Number,325
Births Registered,2011Q4,Laois,Number,302
Births Registered,2011Q4,Longford,Number,133
Births Registered,2011Q4,Louth,Number,417
Births Registered,2011Q4,Meath,Number,788
Births Registered,2011Q4,Offaly,Number,269
Births Registered,2011Q4,Westmeath,Number,326
Births Registered,2011Q4,Wexford,Number,507
Births Registered,2011Q4,Munster,Number,4388
Births Registered,2011Q4,Waterford County,Number,222
Births Registered,2011Q4,Waterford City,Number,181
Births Registered,2011Q4,Clare,Number,422
Births Registered,2011Q4,Cork City,Number,344
Births Registered,2011Q4,Cork County,Number,1521
Births Registered,2011Q4,Kerry,Number,450
Births Registered,2011Q4,Limerick City,Number,179
Births Registered,2011Q4,Limerick County,Number,538
Births Registered,2011Q4,North Tipperary,Number,275
Births Registered,2011Q4,South Tipperary,Number,256
Births Registered,2011Q4,Tipperary,Number,
Births Registered,2011Q4,Connacht,Number,1860
Births Registered,2011Q4,Galway City,Number,244
Births Registered,2011Q4,Leitrim,Number,116
Births Registered,2011Q4,Mayo,Number,415
Births Registered,2011Q4,Roscommon,Number,194
Births Registered,2011Q4,Sligo,Number,219
Births Registered,2011Q4,Galway County,Number,672
Births Registered,2011Q4,Ulster (pt),Number,976
Births Registered,2011Q4,Cavan,Number,265
Births Registered,2011Q4,Donegal,Number,508
Births Registered,2011Q4,Monaghan,Number,203
Births Registered,2011Q4,Outside the State,Number,
Births Registered,2012Q1,State,Number,19313
Births Registered,2012Q1,Dublin City,Number,2175
Births Registered,2012Q1,Fingal,Number,1468
Births Registered,2012Q1,Dun Laoghaire Rathdown,Number,746
Births Registered,2012Q1,South Dublin,Number,1380
Births Registered,2012Q1,Leinster,Number,11222
Births Registered,2012Q1,Wicklow,Number,625
Births Registered,2012Q1,Carlow,Number,270
Births Registered,2012Q1,Kildare,Number,997
Births Registered,2012Q1,Kilkenny,Number,387
Births Registered,2012Q1,Laois,Number,344
Births Registered,2012Q1,Longford,Number,177
Births Registered,2012Q1,Louth,Number,498
Births Registered,2012Q1,Meath,Number,876
Births Registered,2012Q1,Offaly,Number,315
Births Registered,2012Q1,Westmeath,Number,375
Births Registered,2012Q1,Wexford,Number,589
Births Registered,2012Q1,Munster,Number,4997
Births Registered,2012Q1,Waterford County,Number,246
Births Registered,2012Q1,Waterford City,Number,223
Births Registered,2012Q1,Clare,Number,430
Births Registered,2012Q1,Cork City,Number,397
Births Registered,2012Q1,Cork County,Number,1776
Births Registered,2012Q1,Kerry,Number,493
Births Registered,2012Q1,Limerick City,Number,203
Births Registered,2012Q1,Limerick County,Number,595
Births Registered,2012Q1,North Tipperary,Number,297
Births Registered,2012Q1,South Tipperary,Number,337
Births Registered,2012Q1,Tipperary,Number,
Births Registered,2012Q1,Connacht,Number,2104
Births Registered,2012Q1,Galway City,Number,349
Births Registered,2012Q1,Leitrim,Number,114
Births Registered,2012Q1,Mayo,Number,454
Births Registered,2012Q1,Roscommon,Number,234
Births Registered,2012Q1,Sligo,Number,264
Births Registered,2012Q1,Galway County,Number,689
Births Registered,2012Q1,Ulster (pt),Number,990
Births Registered,2012Q1,Cavan,Number,271
Births Registered,2012Q1,Donegal,Number,534
Births Registered,2012Q1,Monaghan,Number,185
Births Registered,2012Q1,Outside the State,Number,
Births Registered,2012Q2,State,Number,17958
Births Registered,2012Q2,Dublin City,Number,2016
Births Registered,2012Q2,Fingal,Number,1351
Births Registered,2012Q2,Dun Laoghaire Rathdown,Number,723
Births Registered,2012Q2,South Dublin,Number,1246
Births Registered,2012Q2,Leinster,Number,10290
Births Registered,2012Q2,Wicklow,Number,578
Births Registered,2012Q2,Carlow,Number,212
Births Registered,2012Q2,Kildare,Number,885
Births Registered,2012Q2,Kilkenny,Number,361
Births Registered,2012Q2,Laois,Number,340
Births Registered,2012Q2,Longford,Number,165
Births Registered,2012Q2,Louth,Number,411
Births Registered,2012Q2,Meath,Number,768
Births Registered,2012Q2,Offaly,Number,302
Births Registered,2012Q2,Westmeath,Number,371
Births Registered,2012Q2,Wexford,Number,561
Births Registered,2012Q2,Munster,Number,4561
Births Registered,2012Q2,Waterford County,Number,206
Births Registered,2012Q2,Waterford City,Number,213
Births Registered,2012Q2,Clare,Number,447
Births Registered,2012Q2,Cork City,Number,331
Births Registered,2012Q2,Cork County,Number,1627
Births Registered,2012Q2,Kerry,Number,512
Births Registered,2012Q2,Limerick City,Number,209
Births Registered,2012Q2,Limerick County,Number,478
Births Registered,2012Q2,North Tipperary,Number,249
Births Registered,2012Q2,South Tipperary,Number,289
Births Registered,2012Q2,Tipperary,Number,
Births Registered,2012Q2,Connacht,Number,2019
Births Registered,2012Q2,Galway City,Number,288
Births Registered,2012Q2,Leitrim,Number,113
Births Registered,2012Q2,Mayo,Number,473
Births Registered,2012Q2,Roscommon,Number,225
Births Registered,2012Q2,Sligo,Number,257
Births Registered,2012Q2,Galway County,Number,663
Births Registered,2012Q2,Ulster (pt),Number,1088
Births Registered,2012Q2,Cavan,Number,318
Births Registered,2012Q2,Donegal,Number,520
Births Registered,2012Q2,Monaghan,Number,250
Births Registered,2012Q2,Outside the State,Number,
Births Registered,2012Q3,State,Number,17985
Births Registered,2012Q3,Dublin City,Number,1880
Births Registered,2012Q3,Fingal,Number,1459
Births Registered,2012Q3,Dun Laoghaire Rathdown,Number,695
Births Registered,2012Q3,South Dublin,Number,1289
Births Registered,2012Q3,Leinster,Number,10311
Births Registered,2012Q3,Wicklow,Number,553
Births Registered,2012Q3,Carlow,Number,248
Births Registered,2012Q3,Kildare,Number,911
Births Registered,2012Q3,Kilkenny,Number,358
Births Registered,2012Q3,Laois,Number,309
Births Registered,2012Q3,Longford,Number,159
Births Registered,2012Q3,Louth,Number,500
Births Registered,2012Q3,Meath,Number,790
Births Registered,2012Q3,Offaly,Number,268
Births Registered,2012Q3,Westmeath,Number,355
Births Registered,2012Q3,Wexford,Number,537
Births Registered,2012Q3,Munster,Number,4625
Births Registered,2012Q3,Waterford County,Number,236
Births Registered,2012Q3,Waterford City,Number,186
Births Registered,2012Q3,Clare,Number,430
Births Registered,2012Q3,Cork City,Number,377
Births Registered,2012Q3,Cork County,Number,1689
Births Registered,2012Q3,Kerry,Number,466
Births Registered,2012Q3,Limerick City,Number,200
Births Registered,2012Q3,Limerick County,Number,521
Births Registered,2012Q3,North Tipperary,Number,252
Births Registered,2012Q3,South Tipperary,Number,268
Births Registered,2012Q3,Tipperary,Number,
Births Registered,2012Q3,Connacht,Number,2017
Births Registered,2012Q3,Galway City,Number,289
Births Registered,2012Q3,Leitrim,Number,129
Births Registered,2012Q3,Mayo,Number,421
Births Registered,2012Q3,Roscommon,Number,216
Births Registered,2012Q3,Sligo,Number,239
Births Registered,2012Q3,Galway County,Number,723
Births Registered,2012Q3,Ulster (pt),Number,1032
Births Registered,2012Q3,Cavan,Number,290
Births Registered,2012Q3,Donegal,Number,546
Births Registered,2012Q3,Monaghan,Number,196
Births Registered,2012Q3,Outside the State,Number,
Births Registered,2012Q4,State,Number,16969
Births Registered,2012Q4,Dublin City,Number,1954
Births Registered,2012Q4,Fingal,Number,1291
Births Registered,2012Q4,Dun Laoghaire Rathdown,Number,663
Births Registered,2012Q4,South Dublin,Number,1122
Births Registered,2012Q4,Leinster,Number,9765
Births Registered,2012Q4,Wicklow,Number,489
Births Registered,2012Q4,Carlow,Number,218
Births Registered,2012Q4,Kildare,Number,896
Births Registered,2012Q4,Kilkenny,Number,299
Births Registered,2012Q4,Laois,Number,299
Births Registered,2012Q4,Longford,Number,144
Births Registered,2012Q4,Louth,Number,482
Births Registered,2012Q4,Meath,Number,772
Births Registered,2012Q4,Offaly,Number,285
Births Registered,2012Q4,Westmeath,Number,297
Births Registered,2012Q4,Wexford,Number,554
Births Registered,2012Q4,Munster,Number,4312
Births Registered,2012Q4,Waterford County,Number,184
Births Registered,2012Q4,Waterford City,Number,193
Births Registered,2012Q4,Clare,Number,383
Births Registered,2012Q4,Cork City,Number,326
Births Registered,2012Q4,Cork County,Number,1541
Births Registered,2012Q4,Kerry,Number,459
Births Registered,2012Q4,Limerick City,Number,197
Births Registered,2012Q4,Limerick County,Number,481
Births Registered,2012Q4,North Tipperary,Number,262
Births Registered,2012Q4,South Tipperary,Number,286
Births Registered,2012Q4,Tipperary,Number,
Births Registered,2012Q4,Connacht,Number,1899
Births Registered,2012Q4,Galway City,Number,277
Births Registered,2012Q4,Leitrim,Number,91
Births Registered,2012Q4,Mayo,Number,436
Births Registered,2012Q4,Roscommon,Number,194
Births Registered,2012Q4,Sligo,Number,222
Births Registered,2012Q4,Galway County,Number,679
Births Registered,2012Q4,Ulster (pt),Number,993
Births Registered,2012Q4,Cavan,Number,282
Births Registered,2012Q4,Donegal,Number,504
Births Registered,2012Q4,Monaghan,Number,207
Births Registered,2012Q4,Outside the State,Number,
Births Registered,2013Q1,State,Number,17563
Births Registered,2013Q1,Dublin City,Number,1890
Births Registered,2013Q1,Fingal,Number,1351
Births Registered,2013Q1,Dun Laoghaire Rathdown,Number,685
Births Registered,2013Q1,South Dublin,Number,1095
Births Registered,2013Q1,Leinster,Number,10009
Births Registered,2013Q1,Wicklow,Number,541
Births Registered,2013Q1,Carlow,Number,216
Births Registered,2013Q1,Kildare,Number,909
Births Registered,2013Q1,Kilkenny,Number,324
Births Registered,2013Q1,Laois,Number,308
Births Registered,2013Q1,Longford,Number,185
Births Registered,2013Q1,Louth,Number,480
Births Registered,2013Q1,Meath,Number,830
Births Registered,2013Q1,Offaly,Number,269
Births Registered,2013Q1,Westmeath,Number,368
Births Registered,2013Q1,Wexford,Number,558
Births Registered,2013Q1,Munster,Number,4616
Births Registered,2013Q1,Waterford County,Number,218
Births Registered,2013Q1,Waterford City,Number,188
Births Registered,2013Q1,Clare,Number,412
Births Registered,2013Q1,Cork City,Number,415
Births Registered,2013Q1,Cork County,Number,1657
Births Registered,2013Q1,Kerry,Number,453
Births Registered,2013Q1,Limerick City,Number,227
Births Registered,2013Q1,Limerick County,Number,458
Births Registered,2013Q1,North Tipperary,Number,265
Births Registered,2013Q1,South Tipperary,Number,323
Births Registered,2013Q1,Tipperary,Number,
Births Registered,2013Q1,Connacht,Number,1983
Births Registered,2013Q1,Galway City,Number,292
Births Registered,2013Q1,Leitrim,Number,114
Births Registered,2013Q1,Mayo,Number,486
Births Registered,2013Q1,Roscommon,Number,232
Births Registered,2013Q1,Sligo,Number,234
Births Registered,2013Q1,Galway County,Number,625
Births Registered,2013Q1,Ulster (pt),Number,955
Births Registered,2013Q1,Cavan,Number,286
Births Registered,2013Q1,Donegal,Number,460
Births Registered,2013Q1,Monaghan,Number,209
Births Registered,2013Q1,Outside the State,Number,
Births Registered,2013Q2,State,Number,17107
Births Registered,2013Q2,Dublin City,Number,1913
Births Registered,2013Q2,Fingal,Number,1313
Births Registered,2013Q2,Dun Laoghaire Rathdown,Number,717
Births Registered,2013Q2,South Dublin,Number,1204
Births Registered,2013Q2,Leinster,Number,9826
Births Registered,2013Q2,Wicklow,Number,508
Births Registered,2013Q2,Carlow,Number,215
Births Registered,2013Q2,Kildare,Number,840
Births Registered,2013Q2,Kilkenny,Number,318
Births Registered,2013Q2,Laois,Number,300
Births Registered,2013Q2,Longford,Number,129
Births Registered,2013Q2,Louth,Number,487
Births Registered,2013Q2,Meath,Number,819
Births Registered,2013Q2,Offaly,Number,238
Births Registered,2013Q2,Westmeath,Number,326
Births Registered,2013Q2,Wexford,Number,499
Births Registered,2013Q2,Munster,Number,4468
Births Registered,2013Q2,Waterford County,Number,221
Births Registered,2013Q2,Waterford City,Number,217
Births Registered,2013Q2,Clare,Number,397
Births Registered,2013Q2,Cork City,Number,388
Births Registered,2013Q2,Cork County,Number,1533
Births Registered,2013Q2,Kerry,Number,449
Births Registered,2013Q2,Limerick City,Number,217
Births Registered,2013Q2,Limerick County,Number,498
Births Registered,2013Q2,North Tipperary,Number,235
Births Registered,2013Q2,South Tipperary,Number,313
Births Registered,2013Q2,Tipperary,Number,
Births Registered,2013Q2,Connacht,Number,1855
Births Registered,2013Q2,Galway City,Number,293
Births Registered,2013Q2,Leitrim,Number,128
Births Registered,2013Q2,Mayo,Number,394
Births Registered,2013Q2,Roscommon,Number,203
Births Registered,2013Q2,Sligo,Number,237
Births Registered,2013Q2,Galway County,Number,600
Births Registered,2013Q2,Ulster (pt),Number,958
Births Registered,2013Q2,Cavan,Number,265
Births Registered,2013Q2,Donegal,Number,491
Births Registered,2013Q2,Monaghan,Number,202
Births Registered,2013Q2,Outside the State,Number,
Births Registered,2013Q3,State,Number,17729
Births Registered,2013Q3,Dublin City,Number,2135
Births Registered,2013Q3,Fingal,Number,1394
Births Registered,2013Q3,Dun Laoghaire Rathdown,Number,672
Births Registered,2013Q3,South Dublin,Number,1178
Births Registered,2013Q3,Leinster,Number,10309
Births Registered,2013Q3,Wicklow,Number,547
Births Registered,2013Q3,Carlow,Number,227
Births Registered,2013Q3,Kildare,Number,852
Births Registered,2013Q3,Kilkenny,Number,348
Births Registered,2013Q3,Laois,Number,305
Births Registered,2013Q3,Longford,Number,158
Births Registered,2013Q3,Louth,Number,514
Births Registered,2013Q3,Meath,Number,813
Births Registered,2013Q3,Offaly,Number,292
Births Registered,2013Q3,Westmeath,Number,336
Births Registered,2013Q3,Wexford,Number,538
Births Registered,2013Q3,Munster,Number,4523
Births Registered,2013Q3,Waterford County,Number,250
Births Registered,2013Q3,Waterford City,Number,197
Births Registered,2013Q3,Clare,Number,355
Births Registered,2013Q3,Cork City,Number,343
Births Registered,2013Q3,Cork County,Number,1626
Births Registered,2013Q3,Kerry,Number,435
Births Registered,2013Q3,Limerick City,Number,197
Births Registered,2013Q3,Limerick County,Number,499
Births Registered,2013Q3,North Tipperary,Number,287
Births Registered,2013Q3,South Tipperary,Number,334
Births Registered,2013Q3,Tipperary,Number,
Births Registered,2013Q3,Connacht,Number,1938
Births Registered,2013Q3,Galway City,Number,301
Births Registered,2013Q3,Leitrim,Number,115
Births Registered,2013Q3,Mayo,Number,428
Births Registered,2013Q3,Roscommon,Number,214
Births Registered,2013Q3,Sligo,Number,205
Births Registered,2013Q3,Galway County,Number,675
Births Registered,2013Q3,Ulster (pt),Number,959
Births Registered,2013Q3,Cavan,Number,245
Births Registered,2013Q3,Donegal,Number,511
Births Registered,2013Q3,Monaghan,Number,203
Births Registered,2013Q3,Outside the State,Number,
Births Registered,2013Q4,State,Number,16531
Births Registered,2013Q4,Dublin City,Number,1831
Births Registered,2013Q4,Fingal,Number,1294
Births Registered,2013Q4,Dun Laoghaire Rathdown,Number,659
Births Registered,2013Q4,South Dublin,Number,1023
Births Registered,2013Q4,Leinster,Number,9414
Births Registered,2013Q4,Wicklow,Number,506
Births Registered,2013Q4,Carlow,Number,194
Births Registered,2013Q4,Kildare,Number,816
Births Registered,2013Q4,Kilkenny,Number,338
Births Registered,2013Q4,Laois,Number,287
Births Registered,2013Q4,Longford,Number,140
Births Registered,2013Q4,Louth,Number,487
Births Registered,2013Q4,Meath,Number,740
Births Registered,2013Q4,Offaly,Number,276
Births Registered,2013Q4,Westmeath,Number,332
Births Registered,2013Q4,Wexford,Number,491
Births Registered,2013Q4,Munster,Number,4265
Births Registered,2013Q4,Waterford County,Number,230
Births Registered,2013Q4,Waterford City,Number,186
Births Registered,2013Q4,Clare,Number,327
Births Registered,2013Q4,Cork City,Number,370
Births Registered,2013Q4,Cork County,Number,1519
Births Registered,2013Q4,Kerry,Number,465
Births Registered,2013Q4,Limerick City,Number,206
Births Registered,2013Q4,Limerick County,Number,432
Births Registered,2013Q4,North Tipperary,Number,245
Births Registered,2013Q4,South Tipperary,Number,285
Births Registered,2013Q4,Tipperary,Number,
Births Registered,2013Q4,Connacht,Number,1875
Births Registered,2013Q4,Galway City,Number,278
Births Registered,2013Q4,Leitrim,Number,101
Births Registered,2013Q4,Mayo,Number,405
Births Registered,2013Q4,Roscommon,Number,226
Births Registered,2013Q4,Sligo,Number,199
Births Registered,2013Q4,Galway County,Number,666
Births Registered,2013Q4,Ulster (pt),Number,977
Births Registered,2013Q4,Cavan,Number,304
Births Registered,2013Q4,Donegal,Number,457
Births Registered,2013Q4,Monaghan,Number,216
Births Registered,2013Q4,Outside the State,Number,
Births Registered,2014Q1,State,Number,17699
Births Registered,2014Q1,Dublin City,Number,2063
Births Registered,2014Q1,Fingal,Number,1377
Births Registered,2014Q1,Dun Laoghaire Rathdown,Number,811
Births Registered,2014Q1,South Dublin,Number,1220
Births Registered,2014Q1,Leinster,Number,10354
Births Registered,2014Q1,Wicklow,Number,517
Births Registered,2014Q1,Carlow,Number,218
Births Registered,2014Q1,Kildare,Number,919
Births Registered,2014Q1,Kilkenny,Number,332
Births Registered,2014Q1,Laois,Number,307
Births Registered,2014Q1,Longford,Number,154
Births Registered,2014Q1,Louth,Number,449
Births Registered,2014Q1,Meath,Number,831
Births Registered,2014Q1,Offaly,Number,285
Births Registered,2014Q1,Westmeath,Number,370
Births Registered,2014Q1,Wexford,Number,501
Births Registered,2014Q1,Munster,Number,4351
Births Registered,2014Q1,Waterford County,Number,236
Births Registered,2014Q1,Waterford City,Number,179
Births Registered,2014Q1,Clare,Number,396
Births Registered,2014Q1,Cork City,Number,402
Births Registered,2014Q1,Cork County,Number,1503
Births Registered,2014Q1,Kerry,Number,423
Births Registered,2014Q1,Limerick City,Number,230
Births Registered,2014Q1,Limerick County,Number,493
Births Registered,2014Q1,North Tipperary,Number,215
Births Registered,2014Q1,South Tipperary,Number,274
Births Registered,2014Q1,Tipperary,Number,
Births Registered,2014Q1,Connacht,Number,1944
Births Registered,2014Q1,Galway City,Number,311
Births Registered,2014Q1,Leitrim,Number,108
Births Registered,2014Q1,Mayo,Number,418
Births Registered,2014Q1,Roscommon,Number,199
Births Registered,2014Q1,Sligo,Number,230
Births Registered,2014Q1,Galway County,Number,678
Births Registered,2014Q1,Ulster (pt),Number,1050
Births Registered,2014Q1,Cavan,Number,298
Births Registered,2014Q1,Donegal,Number,529
Births Registered,2014Q1,Monaghan,Number,223
Births Registered,2014Q1,Outside the State,Number,
Births Registered,2014Q2,State,Number,16502
Births Registered,2014Q2,Dublin City,Number,1846
Births Registered,2014Q2,Fingal,Number,1233
Births Registered,2014Q2,Dun Laoghaire Rathdown,Number,671
Births Registered,2014Q2,South Dublin,Number,1136
Births Registered,2014Q2,Leinster,Number,9564
Births Registered,2014Q2,Wicklow,Number,508
Births Registered,2014Q2,Carlow,Number,222
Births Registered,2014Q2,Kildare,Number,830
Births Registered,2014Q2,Kilkenny,Number,301
Births Registered,2014Q2,Laois,Number,288
Births Registered,2014Q2,Longford,Number,155
Births Registered,2014Q2,Louth,Number,442
Births Registered,2014Q2,Meath,Number,749
Births Registered,2014Q2,Offaly,Number,293
Births Registered,2014Q2,Westmeath,Number,327
Births Registered,2014Q2,Wexford,Number,563
Births Registered,2014Q2,Munster,Number,4246
Births Registered,2014Q2,Waterford County,Number,181
Births Registered,2014Q2,Waterford City,Number,217
Births Registered,2014Q2,Clare,Number,349
Births Registered,2014Q2,Cork City,Number,364
Births Registered,2014Q2,Cork County,Number,1500
Births Registered,2014Q2,Kerry,Number,397
Births Registered,2014Q2,Limerick City,Number,225
Births Registered,2014Q2,Limerick County,Number,487
Births Registered,2014Q2,North Tipperary,Number,241
Births Registered,2014Q2,South Tipperary,Number,285
Births Registered,2014Q2,Tipperary,Number,
Births Registered,2014Q2,Connacht,Number,1788
Births Registered,2014Q2,Galway City,Number,295
Births Registered,2014Q2,Leitrim,Number,102
Births Registered,2014Q2,Mayo,Number,399
Births Registered,2014Q2,Roscommon,Number,192
